2025-06-20 04:51:43,042 - result - CRITICAL - LLM: gpt-4.1-mini
2025-06-20 04:51:43,042 - result - CRITICAL - Mode: Solo
2025-06-20 04:51:43,042 - result - CRITICAL - Datapoints: 500

2025-06-20 04:51:43,043 - result - CRITICAL - ESSAY SET 1:

2025-06-20 04:57:56,476 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
309   "I personally believe that computersdo benefit...      8       8     0
104   "Dear @CAPS1 @CAPS2 @CAPS3, I believe that com...     10       8    -2
796   I believe that computers benefit society. They...      8       7    -1
579   "Dear Newspaper, @CAPS1 you know, the majority...      8       8     0
857   "To use computors, or not to. That is the ques...     10       9    -1
133   "Dear @CAPS1 @CAPS2, I am writing a letter to ...      8       7    -1
618   "In my opinion i think computers have a positi...      8       8     0
408   "Computers and the @CAPS1 have changed the way...      9       9     0
289   "Dear @LOCATION1 harold, More and more people ...      9       6    -3
687   "@CAPS8 more and more technology is being inve...     11       9    -2
332   "I belive that computer technology is a positi...      8       8     0
196   "The effect computers have on humans is by far...     12      10    -2
100   "@ORGANIZATION1, @CAPS1 technology continues t...      9       6    -3
993   "Dear local newspaper, I am sure you will agre...     10       6    -4
704   "Dear local newspaper: I strongly feel that co...      9       8    -1
747   "Dear newspaper, I know that computers can pla...     10       8    -2
940   "There are over @NUM1 students at @ORGANIZATIO...      9      10     1
352   "Dear Local Newspaper, Computers are used ever...      8       8     0
778   "Dear, @CAPS1 paper edattor we should stop bec...      6       2    -4
304   "Dear local newspaper, I think that computers ...      8       6    -2
474   "@CITY1 @CAPS1: I believe that computers (for ...      8       6    -2
172   "Dear @CAPS1 @CAPS2, I think that having a com...      9       4    -5
450   "Dear Local Newspaper, @ORGANIZATION1's benefi...      7       6    -1
63    "Dear editor of the @ORGANIZATION1, In my opin...      8       6    -2
37    "Dear, Newspaper I would like to tell you abou...      8       6    -2
1064  "Dear Newspaper, Computers have advance a lot ...     11       8    -3
347   "Dear, @ORGANIZATION1 are a major part in ever...      8       8     0
482   "Dear, Newspaper @CAPS1 my name is @CAPS2, @PE...      7       4    -3
167   "Dear @LOCATION1, @CAPS1 everybody relizes, te...     10       7    -3
887   "Dear Local Newspaper @CAPS1, I am against tha...      9       8    -1
597   "Dear Local @CAPS1 @CAPS2 you know long of tim...     10       6    -4
291   "Dear local newspaper, I'm sure you love kicki...     10       8    -2
1023  "Dear Local @CAPS1: I'm sitting at the couch t...     11       8    -3
452   "Now-a-days the technological industries are t...     10       6    -4
677   "I think that computers are because you can ha...      8       4    -4
976   "Dear Newspaper, Computers have a huge effect ...     11      10    -1
779   "I believe that computers have a negitive effe...      8       6    -2
1026  "Dear @ORGANIZATION1, @CAPS1 reading your pape...      8      10     2
932   "Dear, newspaper writer I think the computer h...      8       6    -2
882   "Dear newspaper, @CAPS1't you love to go in yo...      8       8     0
267   "Dear editors, I was planning on taking a trip...     10       8    -2
191   "Dear Local newspaper, @CAPS1 are big aguments...      9       6    -3
305   "I blive that computers have a lot of effects ...      6       4    -2
979   "Dear @CAPS1 I would like to inform the public...      6       4    -2
531   "@ORGANIZATION1, @CAPS1 studies have been cond...      9       9     0
641   "Dear Newspaper, I am writing to you @DATE1 be...      8       4    -4
38    "Computers and the @CAPS1 were a technological...     10       6    -4
990   "Dear Local Newspaper, @CAPS1 you think comput...      8       6    -2
317   "Dear @ORGANIZATION1, @DATE1, everywhere you l...     11       6    -5
585   "Dear @CAPS1 @CAPS2, @CAPS3 recently has been ...      8       5    -3
142   "Fairfield @CAPS1 @CAPS2 computers have a bad ...      8       6    -2
423   "Dear @LOCATION2 press, I wonder if you know t...      9       8    -1
330   There are many reasons that computers are a go...     10      10     0
627   "Dear local Newspaper, I think people using a ...      8       8     0
42    "How @MONTH1 times do you use the computer in ...     11       7    -4
103   "Dear @CAPS1 of Newspaper, @CAPS2 has been bro...      9       6    -3
517   "Dear @CAPS1 or @ORGANIZATION2, local paper @C...      8       6    -2
421   "Dear @CAPS1 @CAPS2 I think that computer have...      8       6    -2
1032  "Dear Local Newspaper, The question everyone i...      7       6    -1
159   "Dear local newspaper, @PERCENT1 of @CAPS1 own...      8       8     0
668   "Computers are intresting peices of technology...      8       6    -2
605   "To @CAPS1 @CAPS6 @MONTH1 concern: @CAPS2 I ha...      9       8    -1
686   "Dear local newspaper, Computers are effecting...      8       6    -2
15    "Dear Local Newspaper @CAPS1, I am writing to ...      9       8    -1
985   "I believe that computers make everyday work e...      9       8    -1
589   "To the @CAPS1, I have recently heard that som...      8       8     0
639   "Would you like to be on the computer @NUM1 an...      9       7    -2
234   "Recently, there has been debate about whether...     11      10    -1
923   "Click, click, click the mouse of a computer g...     10       6    -4
377   "Hello, I decided to write in to the paper on ...     10       8    -2
611   "Dear @ORGANIZATION1, I think computers have g...      6       6     0
143   "My opinion about the effects of computers is ...      6       6     0
840   "Dear @CAPS1 @CAPS2 I felt shoeked to see that...      8       6    -2
499   "Dear local newspaper, I believe that computer...      7       6    -1
949   "Dear @ORGANIZATION1, I think that more people...      9       6    -3
77    "To whom it @MONTH1 @CAPS1, I have recently he...      8       8     0
601   "Dear local newspaper, Computers are a waste o...      9       6    -3
23    "Dear The @CAPS1, @CAPS2 has been an argument ...     10       6    -4
89    "Dear @CAPS1 @CAPS2, I think that being on the...      8       6    -2
545   "Dear @CAPS1 Newspaper, @CAPS2 you know what c...      8       4    -4
769   "Dear @CAPS1, @CAPS2 name is @PERSON1 and I wi...     12       8    -4
74    "Dear @CAPS1 of the @ORGANIZATION1, I personal...      7       6    -1
447   "@ORGANIZATION2. Hey ma name is @PERSON1 I'm @...      8       6    -2
44    "Dear newspaper editor, I have recently heard ...      6       6     0
831   "Dear Newspaper, i am writing you this letter,...      8       7    -1
117   "Student @ORGANIZATION2: @PERSON1 @CAPS1: @NUM...      6       6     0
1058  "I think that computer are a good benefit for ...      8       6    -2
671   "Dear @CAPS1 @CAPS2 I think it's a good thing ...      8       6    -2
211   "Dear readers, @CAPS1 if I told you that every...     10       7    -3
714   "Dear @CAPS1 of the @CAPS2 @CAPS3 daily, I am ...      8       7    -1
248   "Dear editor, Computers are becoming more and ...     12      10    -2
147   "Dear local newspaper, I feel very strong abou...      6       8     2
108   "Dear Newspaper @CAPS1, @CAPS2 you like it if ...      9       5    -4
965   "Dear trained readers, @CAPS1't you agree that...      8       4    -4
1053  "Dear @CAPS1, I believe that computers are goo...      9       4    -5
781   "Dear local newspaper, I strongly think we sho...      6       4    -2
404   "Dear local newspaper, I just wanted to say th...      8       6    -2
917   "Dear @CAPS1: you recently posed a question in...     12       8    -4
820   "Dear @LOCATION1, I believe that going on the ...      5       4    -1
201   "Dear: local newspars @CAPS1 recently been bro...      8       4    -4
768   "Computers definitely have a positive impact o...      9       8    -1
114   "Dear @ORGANIZATION1, @CAPS1 opinion on the ef...      8       6    -2
729   "Dear Newspaper of @LOCATION1, The use of the ...     10      10     0
634   "@CITY1 @CAPS1, Computers are very helpful dev...     11      10    -1
894   "I Believe that computers have a positive effe...     11       8    -3
1030  "Dear Newspaper, @CAPS1 do @CAPS5 do when @CAP...      8       6    -2
920   "Dear local newspaper, @CAPS1 are several reas...      9       4    -5
93    "Should there be computers in are society. Yes...      7       4    -3
832   "Dear local newspaper, Computers have a good e...      8       6    -2
1063  "Dear Local Newspaper: @CAPS1 you know that ov...     12      11    -1
646   "The @ORGANIZATION1 @ORGANIZATION1 Newspaper j...      8       6    -2
320   "Dear @CAPS1, I believe that computers do have...      8       8     0
861   "To the Local Newspaper, Computers have a heav...      8       8     0
764   "Dear @LOCATION1, I believe computers have a p...     10      10     0
231   "Do computer hurt you fate a you exercise? I t...      8       4    -4
444   "@ORGANIZATION1, @CAPS1 is a lot of positive t...      8       8     0
60    "Dear @ORGANIZATION2, @CAPS1 @CAPS2 of @CAPS3 ...      9       6    -3
374   "Some people think it is a good idea and same ...      7       6    -1
574   "Dear @CAPS1, @CAPS2 my name is @CAPS3 and I d...      7       4    -3
896   "Dear @CAPS1 @CAPS2 @CAPS3, @DATE1's society i...     11       8    -3
922   "Dear local newspaper, I think that the comput...      8       6    -2
1039  "Dear, @ORGANIZATION2. A computer is a very he...      9       8    -1
878   "Dear Local Newspaper, I just heard that peopl...      7       6    -1
315   Dear: local newspaper I agree with experts tha...      6       4    -2
851   "Dear Local Newspaper, I am writing to you abo...     10       8    -2
702   "Dear Local Newspaper, ""@CAPS1 people have an...      9       4    -5
439   "Dear @CAPS1, I think that computer are a wast...      6       6     0
919   "Dear editor of the @CAPS1 @CAPS2, People say ...     10       8    -2
998   "Dear local newspaper, In my opinion I feel li...      9       5    -4
977   "In modern society, @CAPS3 is rare that you co...     10      10     0
428   "Dear local Newspaper, I assume you've heard a...      9       8    -1
700   "Dear local newspaper, @CAPS1 people are talki...      9       8    -1
327   "Dear local newspaper, I think the effects of ...      8       6    -2
68    "@ORGANIZATION1, The use of computer per famil...     10       6    -4
1068  Dear - Local Newspaper I agree thats computers...      7       6    -1
500   "@ORGANIZATION1, @PERCENT1 of people in the wo...      8       8     0
314   "Dear local Newspaper? Today i am wrinting thi...      7       4    -3
930   "Dear @CAPS1, I am aware of the current debate...      9      10     1
203   "Dear local Newspaper, I think that computers ...      8       6    -2
664   "Dear Local @CAPS1, @CAPS2 do you feel about c...      9       8    -1
803   "Dear local news paper, I agree that technolog...     10      10     0
302   "To whom this @MONTH1 concern: I heard that pe...      8       8     0
667   "Dear Local Newspaper, I am writing to you to ...      9       8    -1
580   "Dear Readers, @CAPS1 of the most important in...     10       8    -2
