2025-06-21 05:41:41,601 - result - CRITICAL - LLM: gpt-4.1-mini
2025-06-21 05:41:41,601 - result - CRITICAL - Mode: Solo
2025-06-21 05:41:41,601 - result - CRITICAL - Datapoints: 500

2025-06-21 05:41:41,645 - result - CRITICAL - ESSAY SET 1:

2025-06-21 05:41:42,539 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
309   "I personally believe that computersdo benefit...      8       4    -4
104   "Dear @CAPS1 @CAPS2 @CAPS3, I believe that com...     10       3    -7
796   I believe that computers benefit society. They...      8       3    -5
579   "Dear Newspaper, @CAPS1 you know, the majority...      8       4    -4
857   "To use computors, or not to. That is the ques...     10       4    -6
133   "Dear @CAPS1 @CAPS2, I am writing a letter to ...      8       4    -4
618   "In my opinion i think computers have a positi...      8       4    -4
408   "Computers and the @CAPS1 have changed the way...      9       4    -5
289   "Dear @LOCATION1 harold, More and more people ...      9       3    -6
687   "@CAPS8 more and more technology is being inve...     11       4    -7
332   "I belive that computer technology is a positi...      8       4    -4
196   "The effect computers have on humans is by far...     12       5    -7
100   "@ORGANIZATION1, @CAPS1 technology continues t...      9       3    -6
993   "Dear local newspaper, I am sure you will agre...     10       3    -7
704   "Dear local newspaper: I strongly feel that co...      9       4    -5
747   "Dear newspaper, I know that computers can pla...     10       4    -6
940   "There are over @NUM1 students at @ORGANIZATIO...      9       4    -5
352   "Dear Local Newspaper, Computers are used ever...      8       4    -4
778   "Dear, @CAPS1 paper edattor we should stop bec...      6       1    -5
304   "Dear local newspaper, I think that computers ...      8       3    -5
474   "@CITY1 @CAPS1: I believe that computers (for ...      8       3    -5
172   "Dear @CAPS1 @CAPS2, I think that having a com...      9       2    -7
450   "Dear Local Newspaper, @ORGANIZATION1's benefi...      7       3    -4
63    "Dear editor of the @ORGANIZATION1, In my opin...      8       3    -5
37    "Dear, Newspaper I would like to tell you abou...      8       3    -5
1064  "Dear Newspaper, Computers have advance a lot ...     11       4    -7
347   "Dear, @ORGANIZATION1 are a major part in ever...      8       4    -4
482   "Dear, Newspaper @CAPS1 my name is @CAPS2, @PE...      7       2    -5
167   "Dear @LOCATION1, @CAPS1 everybody relizes, te...     10       3    -7
887   "Dear Local Newspaper @CAPS1, I am against tha...      9       4    -5
597   "Dear Local @CAPS1 @CAPS2 you know long of tim...     10       2    -8
291   "Dear local newspaper, I'm sure you love kicki...     10       4    -6
1023  "Dear Local @CAPS1: I'm sitting at the couch t...     11       4    -7
452   "Now-a-days the technological industries are t...     10       3    -7
677   "I think that computers are because you can ha...      8       2    -6
976   "Dear Newspaper, Computers have a huge effect ...     11       4    -7
779   "I believe that computers have a negitive effe...      8       3    -5
1026  "Dear @ORGANIZATION1, @CAPS1 reading your pape...      8       4    -4
932   "Dear, newspaper writer I think the computer h...      8       3    -5
882   "Dear newspaper, @CAPS1't you love to go in yo...      8       4    -4
267   "Dear editors, I was planning on taking a trip...     10       3    -7
191   "Dear Local newspaper, @CAPS1 are big aguments...      9       3    -6
305   "I blive that computers have a lot of effects ...      6       2    -4
979   "Dear @CAPS1 I would like to inform the public...      6       2    -4
531   "@ORGANIZATION1, @CAPS1 studies have been cond...      9       4    -5
641   "Dear Newspaper, I am writing to you @DATE1 be...      8       2    -6
38    "Computers and the @CAPS1 were a technological...     10       2    -8
990   "Dear Local Newspaper, @CAPS1 you think comput...      8       2    -6
317   "Dear @ORGANIZATION1, @DATE1, everywhere you l...     11       3    -8
585   "Dear @CAPS1 @CAPS2, @CAPS3 recently has been ...      8       2    -6
142   "Fairfield @CAPS1 @CAPS2 computers have a bad ...      8       3    -5
423   "Dear @LOCATION2 press, I wonder if you know t...      9       3    -6
330   There are many reasons that computers are a go...     10       4    -6
627   "Dear local Newspaper, I think people using a ...      8       3    -5
42    "How @MONTH1 times do you use the computer in ...     11       3    -8
103   "Dear @CAPS1 of Newspaper, @CAPS2 has been bro...      9       3    -6
517   "Dear @CAPS1 or @ORGANIZATION2, local paper @C...      8       3    -5
421   "Dear @CAPS1 @CAPS2 I think that computer have...      8       2    -6
1032  "Dear Local Newspaper, The question everyone i...      7       2    -5
159   "Dear local newspaper, @PERCENT1 of @CAPS1 own...      8       4    -4
668   "Computers are intresting peices of technology...      8       2    -6
605   "To @CAPS1 @CAPS6 @MONTH1 concern: @CAPS2 I ha...      9       4    -5
686   "Dear local newspaper, Computers are effecting...      8       3    -5
15    "Dear Local Newspaper @CAPS1, I am writing to ...      9       4    -5
985   "I believe that computers make everyday work e...      9       4    -5
589   "To the @CAPS1, I have recently heard that som...      8       4    -4
639   "Would you like to be on the computer @NUM1 an...      9       3    -6
234   "Recently, there has been debate about whether...     11       5    -6
923   "Click, click, click the mouse of a computer g...     10       3    -7
377   "Hello, I decided to write in to the paper on ...     10       4    -6
611   "Dear @ORGANIZATION1, I think computers have g...      6       4    -2
143   "My opinion about the effects of computers is ...      6       2    -4
840   "Dear @CAPS1 @CAPS2 I felt shoeked to see that...      8       3    -5
499   "Dear local newspaper, I believe that computer...      7       3    -4
949   "Dear @ORGANIZATION1, I think that more people...      9       3    -6
77    "To whom it @MONTH1 @CAPS1, I have recently he...      8       4    -4
601   "Dear local newspaper, Computers are a waste o...      9       3    -6
23    "Dear The @CAPS1, @CAPS2 has been an argument ...     10       3    -7
89    "Dear @CAPS1 @CAPS2, I think that being on the...      8       3    -5
545   "Dear @CAPS1 Newspaper, @CAPS2 you know what c...      8       2    -6
769   "Dear @CAPS1, @CAPS2 name is @PERSON1 and I wi...     12       4    -8
74    "Dear @CAPS1 of the @ORGANIZATION1, I personal...      7       3    -4
447   "@ORGANIZATION2. Hey ma name is @PERSON1 I'm @...      8       3    -5
