2025-06-21 06:10:12,555 - result - CRITICAL - LLM: gpt-4.1-nano
2025-06-21 06:10:12,555 - result - CRITICAL - Mode: Solo
2025-06-21 06:10:12,555 - result - CRITICAL - Datapoints: 500

2025-06-21 06:10:12,556 - result - CRITICAL - ESSAY SET 1:

2025-06-21 06:15:42,989 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
309   "I personally believe that computersdo benefit...      8       8     0
104   "Dear @CAPS1 @CAPS2 @CAPS3, I believe that com...     10       6    -4
796   I believe that computers benefit society. They...      8       8     0
579   "Dear Newspaper, @CAPS1 you know, the majority...      8       8     0
857   "To use computors, or not to. That is the ques...     10       9    -1
133   "Dear @CAPS1 @CAPS2, I am writing a letter to ...      8       8     0
618   "In my opinion i think computers have a positi...      8       8     0
408   "Computers and the @CAPS1 have changed the way...      9       8    -1
289   "Dear @LOCATION1 harold, More and more people ...      9       4    -5
687   "@CAPS8 more and more technology is being inve...     11       6    -5
332   "I belive that computer technology is a positi...      8       8     0
196   "The effect computers have on humans is by far...     12       9    -3
100   "@ORGANIZATION1, @CAPS1 technology continues t...      9       6    -3
993   "Dear local newspaper, I am sure you will agre...     10       6    -4
704   "Dear local newspaper: I strongly feel that co...      9       8    -1
747   "Dear newspaper, I know that computers can pla...     10       6    -4
940   "There are over @NUM1 students at @ORGANIZATIO...      9       8    -1
352   "Dear Local Newspaper, Computers are used ever...      8       7    -1
778   "Dear, @CAPS1 paper edattor we should stop bec...      6       4    -2
304   "Dear local newspaper, I think that computers ...      8       8     0
474   "@CITY1 @CAPS1: I believe that computers (for ...      8       8     0
172   "Dear @CAPS1 @CAPS2, I think that having a com...      9       4    -5
450   "Dear Local Newspaper, @ORGANIZATION1's benefi...      7       8     1
63    "Dear editor of the @ORGANIZATION1, In my opin...      8       4    -4
37    "Dear, Newspaper I would like to tell you abou...      8       6    -2
1064  "Dear Newspaper, Computers have advance a lot ...     11       8    -3
347   "Dear, @ORGANIZATION1 are a major part in ever...      8       8     0
482   "Dear, Newspaper @CAPS1 my name is @CAPS2, @PE...      7       4    -3
167   "Dear @LOCATION1, @CAPS1 everybody relizes, te...     10       4    -6
887   "Dear Local Newspaper @CAPS1, I am against tha...      9       7    -2
597   "Dear Local @CAPS1 @CAPS2 you know long of tim...     10       4    -6
291   "Dear local newspaper, I'm sure you love kicki...     10       8    -2
1023  "Dear Local @CAPS1: I'm sitting at the couch t...     11       6    -5
452   "Now-a-days the technological industries are t...     10       4    -6
677   "I think that computers are because you can ha...      8       4    -4
976   "Dear Newspaper, Computers have a huge effect ...     11       8    -3
779   "I believe that computers have a negitive effe...      8       4    -4
1026  "Dear @ORGANIZATION1, @CAPS1 reading your pape...      8       6    -2
932   "Dear, newspaper writer I think the computer h...      8       4    -4
882   "Dear newspaper, @CAPS1't you love to go in yo...      8       8     0
267   "Dear editors, I was planning on taking a trip...     10       6    -4
191   "Dear Local newspaper, @CAPS1 are big aguments...      9       4    -5
305   "I blive that computers have a lot of effects ...      6       4    -2
979   "Dear @CAPS1 I would like to inform the public...      6       4    -2
531   "@ORGANIZATION1, @CAPS1 studies have been cond...      9       9     0
641   "Dear Newspaper, I am writing to you @DATE1 be...      8       4    -4
38    "Computers and the @CAPS1 were a technological...     10       4    -6
990   "Dear Local Newspaper, @CAPS1 you think comput...      8       6    -2
317   "Dear @ORGANIZATION1, @DATE1, everywhere you l...     11       8    -3
585   "Dear @CAPS1 @CAPS2, @CAPS3 recently has been ...      8       6    -2
142   "Fairfield @CAPS1 @CAPS2 computers have a bad ...      8       4    -4
423   "Dear @LOCATION2 press, I wonder if you know t...      9       8    -1
330   There are many reasons that computers are a go...     10       9    -1
627   "Dear local Newspaper, I think people using a ...      8       8     0
42    "How @MONTH1 times do you use the computer in ...     11       4    -7
103   "Dear @CAPS1 of Newspaper, @CAPS2 has been bro...      9       6    -3
517   "Dear @CAPS1 or @ORGANIZATION2, local paper @C...      8       4    -4
421   "Dear @CAPS1 @CAPS2 I think that computer have...      8       4    -4
1032  "Dear Local Newspaper, The question everyone i...      7       4    -3
159   "Dear local newspaper, @PERCENT1 of @CAPS1 own...      8       7    -1
668   "Computers are intresting peices of technology...      8       8     0
605   "To @CAPS1 @CAPS6 @MONTH1 concern: @CAPS2 I ha...      9       8    -1
686   "Dear local newspaper, Computers are effecting...      8       6    -2
15    "Dear Local Newspaper @CAPS1, I am writing to ...      9       6    -3
985   "I believe that computers make everyday work e...      9       8    -1
589   "To the @CAPS1, I have recently heard that som...      8       8     0
639   "Would you like to be on the computer @NUM1 an...      9       4    -5
234   "Recently, there has been debate about whether...     11       9    -2
923   "Click, click, click the mouse of a computer g...     10       6    -4
377   "Hello, I decided to write in to the paper on ...     10       8    -2
611   "Dear @ORGANIZATION1, I think computers have g...      6       8     2
143   "My opinion about the effects of computers is ...      6       4    -2
840   "Dear @CAPS1 @CAPS2 I felt shoeked to see that...      8       6    -2
499   "Dear local newspaper, I believe that computer...      7       6    -1
949   "Dear @ORGANIZATION1, I think that more people...      9       4    -5
77    "To whom it @MONTH1 @CAPS1, I have recently he...      8       4    -4
601   "Dear local newspaper, Computers are a waste o...      9       4    -5
